year_film,year_ceremony,ceremony,category,name,film,winner
1927,1928,1,Oscar Actor,Emil Jannings,The Last Command,True
1927,1928,1,Oscar Actress,Janet Gaynor,7th Heaven,True
1927,1928,1,Oscar Art Direction,William Cameron Menzies,The Dove;,True
1927,1928,1,Oscar Cinematography,Charles Rosher,Sunrise,True
1927,1928,1,Oscar Cinematography,Karl Struss,Sunrise,True
1927,1928,1,Oscar Directing,Lewis Milestone,Two Arabian Knights,True
1927,1928,1,Oscar Directing,Frank Borzage,7th Heaven,True
1927,1928,1,Oscar Engineering Effects,Roy Pomeroy,Wings,True
1927,1928,1,Oscar Outstanding Picture,Paramount Famous Lasky,Wings,True
1927,1928,1,Oscar Unique And Artistic Picture,Fox,Sunrise,True
1927,1928,1,Oscar Writing,Benjamin Glazer,7th Heaven,True
1927,1928,1,Oscar Writing,Ben Hecht,Underworld,True
1928,1929,2,Oscar Actor,Warner Baxter,In Old Arizona,True
1928,1929,2,Oscar Actress,Mary Pickford,Coquette,True
1928,1929,2,Oscar Art Direction,Cedric Gibbons,The Bridge of San Luis Rey,True
1928,1929,2,Oscar Cinematography,Clyde De Vinna,White Shadows in the South Seas,True
1928,1929,2,Oscar Directing,Frank Lloyd,The Divine Lady,True
1928,1929,2,Oscar Outstanding Picture,Metro-Goldwyn-Mayer,The Broadway Melody,True
1928,1929,2,Oscar Writing,Hans Kraly,The Patriot,True
1929,1930,3,Oscar Actor,George Arliss,Disraeli,True
1929,1930,3,Oscar Actress,Norma Shearer,The Divorcee,True
1929,1930,3,Oscar Art Direction,Herman Rosse,King of Jazz,True
1929,1930,3,Oscar Cinematography,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,True
1929,1930,3,Oscar Directing,Lewis Milestone,All Quiet on the Western Front,True
1929,1930,3,Oscar Outstanding Production,Universal,All Quiet on the Western Front,True
1929,1930,3,Oscar Sound Recording,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,True
1929,1930,3,Oscar Writing,Frances Marion,The Big House,True
1930,1931,4,Oscar Actor,Lionel Barrymore,A Free Soul,True
1930,1931,4,Oscar Actress,Marie Dressler,Min and Bill,True
1930,1931,4,Oscar Art Direction,Max Rée,Cimarron,True
1930,1931,4,Oscar Cinematography,Floyd Crosby,Tabu,True
1930,1931,4,Oscar Directing,Norman Taurog,Skippy,True
1930,1931,4,Oscar Outstanding Production,RKO Radio,Cimarron,True
1930,1931,4,Oscar Writing,Howard Estabrook,Cimarron,True
1930,1931,4,Oscar Writing,John Monk Saunders,The Dawn Patrol,True
1931,1932,5,Oscar Actor,Wallace Beery,The Champ,True
1931,1932,5,Oscar Actor,Fredric March,Dr. Jekyll and Mr. Hyde,True
